"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WAGEGAP","EMPLOYEE","PC","A","2014",15.384615385,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2015",13,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2016",11.538461538,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2017",11.664190193,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2018",11.714285714,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2014",17.728884245,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2015",17.04325299,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2016",15.670899643,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2017",15.38215397,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2014",3.2989003665,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2015",4.672,
"BEL","WAGEGAP","EMPLOYEE","PC","A","2016",3.7012987013,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2014",19.229,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2015",18.62745098,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2016",18.221153846,
"CAN","WAGEGAP","EMPLOYEE","PC","A","2017",18.17322239,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2014",16.254560195,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2015",16.455154158,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2016",16.023430838,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2017",15.614010894,
"CZE","WAGEGAP","EMPLOYEE","PC","A","2018",15.127413864,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2014",6.3238656948,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2015",5.8360481128,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2016",5.7326280384,
"DNK","WAGEGAP","EMPLOYEE","PC","A","2017",5.2966919656,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2014",19.609079445,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2015",18.055981324,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2016",16.47225837,
"FIN","WAGEGAP","EMPLOYEE","PC","A","2017",17.717920638,
"FRA","WAGEGAP","EMPLOYEE","PC","A","2014",9.8721023181,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2014",17.1875,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2015",15.816326531,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2016",15.510718789,
"DEU","WAGEGAP","EMPLOYEE","PC","A","2017",16.19047619,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2014",9.0909090909,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2015",6.25,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2016",4.486279454,
"GRC","WAGEGAP","EMPLOYEE","PC","A","2017",4.486279454,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2014",3.7726055271,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2015",9.5238095238,
"HUN","WAGEGAP","EMPLOYEE","PC","A","2016",9.3643171806,
"ISL","WAGEGAP","EMPLOYEE","PC","A","2014",13.593489465,
"ISL","WAGEGAP","EMPLOYEE","PC","A","2015",9.931403069,
"ISL","WAGEGAP","EMPLOYEE","PC","A","2016",11.543446315,
"IRL","WAGEGAP","EMPLOYEE","PC","A","2014",14.369905956,
"IRL","WAGEGAP","EMPLOYEE","PC","A","2015",12.602773346,
"IRL","WAGEGAP","EMPLOYEE","PC","A","2016",7.4310255075,
"IRL","WAGEGAP","EMPLOYEE","PC","A","2017",5.8755315037,
"ITA","WAGEGAP","EMPLOYEE","PC","A","2014",5.5555555533,
"ITA","WAGEGAP","EMPLOYEE","PC","A","2016",5.5555555533,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2014",25.870989997,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2015",25.731790334,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2016",24.601289447,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2017",24.518092661,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2014",36.653176139,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2015",37.176281754,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2016",36.666666667,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2017",34.617382557,
"LUX","WAGEGAP","EMPLOYEE","PC","A","2014",3.4029167858,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2014",18.3,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2015",16.666666667,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2016",16.492248062,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2017",11.111111111,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2018",14,
"NLD","WAGEGAP","EMPLOYEE","PC","A","2014",14.11468179,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2014",6.0833333333,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2015",7.92,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2016",7.7692307692,
